"group";"n"
"sukkervarer";202
"broed";167
"usyrnede_maelkeprodukter";135
"limonade_mineralvand_saftdrik_o_l_";124
"charcuterivarer";110
"frugt_groentsager";94
"rod_og_knoldgroentsager";85
"frugtprodukter";82
"syrnede_maelkeprodukter";80
"blad_og_staengelgroentsager";78
"groentsagsprodukter";78
"sydfrugt";66
"fast_loebeost";65
"oksekoed";63
"smoer";62
"baerfrugt";56
"pastaprodukter";55
"kaffe_te_kakao_og_chokolade";54
"kernefrugt";53
"kylling_og_hoene";49
"kager";48
"toej";44
"kiks_og_smaakager";43
"svinekoed_(gris)";43
"empty";40
"saebe_og_hygiejne";40
"fedtrig_frugt_og_froe";35
"fiskeprodukter";35
"saltvandsfisk";34
"sandwiches";34
"andre_sammensatte_foedevarer";33
"kalkun";33
"oel_og_andre_maltdrikke";33
"plantebaserede_produkter";28
"baelgplanter";27
"faerdigretter";27
"fjerkrae";27
"kornsorter";27
"krydderurter";27
"stenfrugt";27
"frugtsaft_og_juice";26
"krydderier";26
"kaeledyrsprodukter";24
"pant_retur";23
"rengoering";23
"morgenprodukter";22
"spiritus";21
"andre_drikkevarer";20
"faare_og_lammekoed";20
"snacks";20
"is";19
"friske_aeg";18
"kropspleje";18
"tobak";18
"mayonnaiser";17
"gryn";15
"svampe";14
"vegetabilske_fedtstoffer";14
"tandsundhed";13
"kontorartikler";12
"skaldyr";12
"toiletpapir";12
"aegprodukter";11
"blomster";11
"dressings";11
"eddike";11
"paalaegsvarer";11
"babypleje";10
"bloed_loebeost";10
"halvfast_loebeost";10
"mel";10
"boeger";9
"byggemarked";9
"papir";9
"sukker";8
"vine";8
"belysning";7
"fede_saucer_og_dressinger";7
"industrielle_hjaelpestoffer";7
"margariner";7
"opvaskemiddel";7
"bloed_surmaelksost";6
"dump";6
"gaer_og_gaerprodukter";6
"koekkenrulle";6
"papirservietter";6
"ansigtspleje";5
"honning";5
"madforberedelse";5
"affaldsaekke";4
"and_og_gaas";4
"andet_stof";4
"barbering_og_haarfjerning";4
"batterier";4
"legetoej";4
"madindpaking";4
"plastikposer";4
"andre_sukkervarer";3
"ferskvandsfisk";3
"fragt";3
"glasvarer";3
"medicinsk";3
"personligpleje";3
"hedvine";2
"indmad";2
"likoer";2
"moebler";2
"smelteost";2
"toerrede_aeg";2
"andre_koedprodukter";1
"animalske_fedtstoffer";1
"bagepulver_o_l_";1
"bouillon_o_l_";1
"delikatesse";1
"diverse";1
"fuglevildt";1
"have";1
"kortgebyr";1
"vaskemidler";1
"vildt";1
