"productname";"group";"n"
"mineralvand, sodavand, tilsat sukker, uspec.";"limonade_mineralvand_saftdrik_o_l_";60
"pasta, raa";"pastaprodukter";55
"chokolade, floede";"sukkervarer";47
"oksekoed, hakket, 8-12% fedt, raa";"oksekoed";44
"toej";"toej";44
"kartoffel, uspec., raa";"rod_og_knoldgroentsager";38
"skummetmaelk, oekologisk";"usyrnede_maelkeprodukter";38
"mineralvand, sodavand, uden tilsat sukker, uspec.";"limonade_mineralvand_saftdrik_o_l_";35
"tomat, uspec., raa";"frugt_groentsager";34
"saebe og hygiejne";"saebe_og_hygiejne";30
"spegepoelse";"charcuterivarer";30
"baerepose";"empty";29
"leverpostej";"charcuterivarer";29
"kylling, koed, raa";"fjerkrae";27
"smoerbart blandingsprodukt, 75% fedt";"smoer";27
"aeble, uspec., raat";"kernefrugt";26
"agurk, raa";"frugt_groentsager";26
"hvid hvede bolle, grov, industrifremstillet";"broed";26
"kylling, bryst, koed og skind, raa";"kylling_og_hoene";26
"skummetmaelk";"usyrnede_maelkeprodukter";26
"frugtsmoothie, usoedet";"frugtsaft_og_juice";25
"jordbaer, raa";"baerfrugt";25
"pizza, dybfrost, uspec.";"faerdigretter";25
"kaeledyrsprodukter";"kaeledyrsprodukter";24
"pant retur";"pant_retur";23
"tomatpure";"groentsagsprodukter";23
"chokolade, moerk";"sukkervarer";22
"karameller, blandede";"sukkervarer";21
"mineralvand, dansk vand o.lign.";"limonade_mineralvand_saftdrik_o_l_";21
"smoer, saltet";"smoer";21
"frugtpaalaeg, uspec.";"frugtprodukter";20
"kalkun, koed, raa";"kalkun";20
"mulifrugt juice";"frugtprodukter";20
"rengoering";"rengoering";20
"lakrids, uspec.";"sukkervarer";19
"peberfrugt, roed, raa";"frugt_groentsager";19
"danbo, 20+";"fast_loebeost";18
"kropspleje";"kropspleje";18
"letmaelk, konventionel (ikke-oekologisk)";"usyrnede_maelkeprodukter";18
"yoghurt, med frugt, 1.5 % fedt";"syrnede_maelkeprodukter";18
"bouillon, oksekoed, koncentreret, terning";"andre_sammensatte_foedevarer";17
"cigaretter";"tobak";17
"hvedebroed, groft, med fedtrige froe, stort, detailbageri";"broed";17
"kartoffel, chips (franske kartofler)";"groentsagsprodukter";17
"poelse, med sojaprotein";"plantebaserede_produkter";17
"skyr, 0.2 % fedt";"syrnede_maelkeprodukter";17
"rugbroed, fuldkorn, industrifremstillet";"broed";16
"avocado, raa";"stenfrugt";15
"gulerod, uspec., raa";"rod_og_knoldgroentsager";15
"kaffe, drikkeklar";"kaffe_te_kakao_og_chokolade";15
"mandel, raa";"fedtrig_frugt_og_froe";15
"muusli, uspec.";"morgenprodukter";15
"burger med medium boef, salat og dressing, fastfood";"sandwiches";14
"champignon, raa";"svampe";14
"loeg, raa";"rod_og_knoldgroentsager";14
"pastiller, med sukker, uspec.";"sukkervarer";14
"rullepoelse, paalaeg";"charcuterivarer";14
"smoerbart blandingsprodukt, let, 57% fedt";"smoer";14
"toerkage, uspec.";"kager";14
"chokolade, floede, med noedder";"sukkervarer";13
"citron, raa";"sydfrugt";13
"energi drik, red bull";"andre_drikkevarer";13
"grisekoed, hakket, 10-15% fedt, raat";"svinekoed_(gris)";13
"marmelade, uspec.";"frugtprodukter";13
"oel, guld-, 5.6 % vol.";"oel_og_andre_maltdrikke";13
"paere, raa";"kernefrugt";13
"rugbroed, med sigtet mel (soft) og fedtrige froe, detailbageri";"broed";13
"skummetmaelksost, max. 5+";"fast_loebeost";13
"tandsundhed";"tandsundhed";13
"broccoli, raa";"blad_og_staengelgroentsager";12
"floede 38 %, piskefloede";"usyrnede_maelkeprodukter";12
"floedeskumskage, uspec.";"kager";12
