"name";"total_products_matched";"total_items_matched"
"grimbergen";2;26
"baadskive a4";1;20
"bg den lille roede";1;12
"oeko skummet";1;6
"flyttekasse senior";1;4
"fryseps. ltr.";1;4
"groent";1;4
"bager";1;3
"beklaed.profil";1;3
"bluse";3;3
"brooklyn";2;3
"carlsberg ,";1;3
"egelykke anna mild";1;3
"oeko let 1l";1;3
"orient shrimp salad";1;3
"pileflet rustik";1;3
"rema soft t";1;3
"roser";3;3
"variera skuffunderla";1;3
"alfheim grendel";1;2
"ammeindlaeg";1;2
"antagen opvboers fors";1;2
"balloner";2;2
"becel let omega 250g";2;2
"biksemad";1;2
"biotex 1,75l";2;2
"bki instant";2;2
"budget";1;2
"capri-sun safari";2;2
"chef de pomme";1;2
"cykeldaek 24\", mm";1;2
"dansand fugesand";1;2
"dgr. solsik.";1;2
"dr. beckmann";1;2
"dronning mandl.";2;2
"engelsk boef";2;2
"fastelavnsbl";1;2
"folkehjaelp";1;2
"fp oekologisk roersukk";1;2
"fraiche";2;2
"gilleleje havn";1;2
"go kas laa 20x10";1;2
"grill briquette";1;2
"gropper oeko ma 250ml";1;2
"haandvaerker";1;2
"harvest best";1;2
"havrefras";2;2
"instant energy 900ml";1;2
"kaergaard /smag";1;2
"kims havsalt";2;2
"king' lilla";2;2
"knaldperler 12aes";1;2
"kort kuvert";2;2
"la belle laitiaere br";1;2
"lille bjoern";1;2
"manitoba mel 2kg";1;2
"margharita";1;2
"meny indkoebsnet";1;2
"mh okse";2;2
"mikrotabs";1;2
"mini fras";1;2
"multivitamin";2;2
"nikoline 2l";1;2
"oatly havre";2;2
"oeko appel 1l";1;2
"oeko hyldebl. l";1;2
"oeko moerk";1;2
"oeko pommes";2;2
"oellingegaard koldskaa";1;2
"opvaskeboerste";2;2
"risalamande";2;2
"skovmand";1;2
"snaxters";2;2
"softice";1;2
"spidsbrie";1;2
"sushi nori";1;2
"taffel original";1;2
"tampax super";1;2
"tena lady";1;2
"thairet";2;2
"toffifee";1;2
"toiletp. 2-lag";1;2
"toms ekstra";2;2
"vare";1;2
"weekendmix";2;2
"+ pods .";1;1
". perelada";1;1
".m. laurbaerblade";1;1
".m. taco tubs";1;1
"32l opbev.boks";1;1
"7up";1;1
"aarets kaalslaw";1;1
"actimel";1;1
"affaldssaek 100l";1;1
"affaldssaek klar 120l";1;1
"agnes";1;1
"aioli";1;1
"akrylboks";1;1
"albani luxus moerk ju";1;1
"albani mosaic ipa";1;1
"ale no. cl";1;1
"alfa musekorn";1;1
"allerum grevae skiv";1;1
"aloe vera gel ml";1;1
"alpro go on";1;1
"alsace wiebelsberg h";1;1
"ama let";1;1
"ama madlavningsfloede";1;1
"amanda luksusrogn";1;1
"amo mel 2kg";1;1
"anna mild sk.";1;1
"apol l. .";1;1
"appassinero";1;1
"argentinske roedrejer";1;1
"arla kold. /jord 1l";1;1
"athena";1;1
"athena graesk 1kg";1;1
"avivir aloe vera men";1;1
"baalkurv, quadra";1;1
"basissalat";1;1
"bbq skum300g";1;1
"bd bullet train";1;1
"bd matrix resurr";1;1
"beauvais kuloer";1;1
"bechamel sau";1;1
"bella gomba";1;1
"beloes'";1;1
"bilanx happy snax";1;1
"bilanx stix";1;1
"bki guld 400g";1;1
"bl.ue k. b'free";1;1
"bland-selv-slik";1;1
"bloed snemand";1;1
"blue dream";1;1
"blue dream g";1;1
"boejle";1;1
"boerne taske";1;1
"bor, -mm.";1;1
"boson antigentest nae";1;1
"botaren badvaerstan";1;1
"bp oil-free moisturi";1;1
"brainy me mixed nuts 75g";1;1
"bresaola";1;1
"briller";1;1
"brooklyn stonewall";1;1
"brushetta";1;1
"budget harva";1;1
"budget mozz";1;1
"budget paprika";1;1
"budget plantem. 400g";1;1
"budget saek";1;1
"burrata 150g";1;1
"butterdej";1;1
"caesar salat g";1;1
"cafe noir me";1;1
"cafèbesoeg for";1;1
"café noir formalet";1;1
"café noir stempelkaf";1;1
"calypso slikkepi";1;1
"candy can";1;1
"capolavoro";1;1
"cappelletti";1;1
"capri-sonne";1;1
"caprice vafler n";1;1
"carlsberg 50cl";1;1
"carlsberg humle";1;1
