"nummer";"gruppe";"foodgroup";"custom_groups";"brand_group_stem";"brand_specific_stem";"generic_specific_stem";"generic_group_stem";"generic_type_stem";"generic_taste_stem";"specific_taste_stem";"processing_stem";"priority";"eco_stem";"light_stem";"unit";"lower_percent_match";"upper_percent_match";"price";"amount";"sum";"foodex2code";"fødevarenavn";"fødevaregruppe";"foodname";"foodgroup_eng";"foodgroupid";"energy_kj";"energy_kcal";"protein";"protein_from_amino_acids";"protein_labeling";"carbohydrate_by_difference";"available_carbohydrates";"available_carbohydrate_labelling";"dietary_fibre";"fat";"alcohol";"salt_labelling";"ash";"dry_matter";"water";"vitamin_a";"retinol";"beta_carotene";"vitamin_d";"vitamin_d3";"vitamin_d2";"25_hydroxy_vitamin_d3_";"25_hydroxy_vitamin_d2";"vitamin_e";"alpha_tocopherol";"beta_tocopherol";"gamma_tocopherol";"delta_tocopherol";"alpha_tocotrienol";"vitamin_k1";"thiamin_vitamin_b1_";"thiamine";"2_1_hydroxyethyl_thiamine";"riboflavin_vitamin_b2_";"niacin_equivalent";"niacin";"vitamin_b6";"pantothenic_acid";"biotin";"folate";"folate_free";"vitamin_b12";"vitamin_c";"ascorbic_acid";"dehydroascorbic_acid";"sodium";"potassium";"calcium";"magnesium";"rubidium";"iron";"copper";"zinc";"manganese";"chromium";"molybdenum";"cobalt";"selenium";"aluminum";"silicon";"boron";"phosphorus";"fluorine";"chloride";"bromine";"iodine";"sulfur";"nickel";"mercury";"arsenic";"cadmium";"lead";"tin";"fructose";"galactose";"glucose";"sum_monosaccharides";"lactose";"maltose";"sucrose";"sum_disaccharides";"maltotriose";"raffinose";"sum_sugars";"added_sugar";"free_sugars";"sorbitol";"mannitol";"inositol";"maltitol";"sum_sugar_alcohols";"starch";"cellulose";"lignin";"insoluble_dietary_fibers";"high_molecular_weight_soluble_dietary_fibre_";"low_molecular_weight_soluble_dietary_fibre_";"crude_fibre";"neutral_detergent_fibre";"l_lactic_acid";"d_lactic_acid";"lactic_acid";"citric_acid";"oxalic_acid";"malic_acid";"acetic_acid";"propionic_acid";"benzoic_acid";"sum_organic_acids";"c4_0";"c6_0";"c8_0";"c10_0";"c12_0";"c13_0";"c14_0";"c15_0";"c16_0";"c17_0";"c18_0";"c20_0";"c21_0";"c22_0";"c23_0";"c24_0";"c12_1_n_1";"c14_1_n_5";"c15_1_n_5";"c16_1_n_7";"c17_1_n_7";"c18_1_n_7";"c18_1_n_9";"c18_1_n_12";"c20_1_n_9";"c20_1_n_11";"c20_1_n_15";"c22_1_n_9";"c22_1_n_11";"c24_1_n_9";"c14_1_n_5_trans";"c16_1_n_7_trans";"c18_1_trans";"c20_1_trans";"c22_1_trans";"c18_2_n_6";"c18_2_conjugated";"c18_3_n_3";"c18_3_n_6";"c18_4_n_3";"c20_2_n_6";"c20_3_n_3";"c20_3_n_6";"c20_4_n_3";"c20_4_n_6";"c20_5_n_3";"c22_2_n_6";"c22_3_n_3";"c22_4_n_6";"c22_5_n_3";"c22_5_n_6";"c22_6_n_3";"c18_2_trans";"other_fatty_acids";"sum_saturated_fatty_acids";"sum_monounsaturated_fatty_acids";"sum_polyunsaturated_fatty_acids";"sum_trans_fatty_acids";"sum_fatty_acids_below_the_detection_limit";"sum_fatty_acids";"sum_n_3_fatty_acids";"sum_n_6_fatty_acids";"cholesterol";"nitrogen";"isoleucine";"leucine";"lysine";"methionine";"cystine";"phenylalanine";"tyrosine";"threonine";"tryptophan";"valine";"arginine";"histidine";"alanine";"aspartic_acid";"glutamic_acid";"glycine";"proline";"serine";"hydroxyproline";"ornithine";"histamine";"serotonin";"tyramine";"phenylethylamine";"putrescine";"cadaverine";"spermine";"spermidine";"sum_biogenic_amines";"waste";"nitrogen_conversion_factor";"fatty_acid_conversion_factor";"density";"match_score";"itemname";"itemnumber";"name";"total_items";"frida_name";"navn"
"224";"oel_og_andre_maltdrikke";"112";"alcoholic drinks";"bcarlsberg\b|heineken|\btuborg\b|\bharboe\b|royal|jacobsen|budweiser|corona|kronenbourg|grimbergen|thisted|harboe64|birkebryg|hoegaarden|odense|frejdhal|crabbies|carlsberg1883|erdinger|leffe|newcastle|stella|bouffone|pilsner|hancock|noerrebro|weissbier|brewmaster|warsteiner|rochest|estrella|wychwood|benediktiner|hyldebryg|mikkeler|ja(c|k)obsen|classic|royal(| )export|lager|san( |)miguel|anarkis|pift|skovlyst";"nordic|implosion|hazy ipa";"empty";"alkoholfri|nul|(super|)light|sans\b";"\baeggehvid|hvider";"abriko|ananas|appl|appelsi|apric|banan|berry|blaab|blueber|baer|cacao|carro|cherr|cinnam|clement|cranb|citr|curra|drue|elderflow|exoti|eksotis|fersk|figen|fig|frugt|ginge|granataeb|\bgrape\b|grapefru|guava|guleroe|havtor|hinbae|honnin|honey|hyben|hyldeb|jordb|kakao|kanel|karam|kirseb|kiwi|klemint|lemo|lime|lingon|mandari|mang|melba|melon|mint|mix(ed | )berry|multi|mynt|orang|passionsfrug|passion(| )fruit|peach|pear|paer|pineappl|pink|pistac|pomegra|rabar|rasin|raspber|rhuba|ribs|rossin|skovb|solb|spinat|strawb|traneb|tropi|tutti( |)fruitti|tytteb|vanil|valnoed|vandmel|walnu|watermel|aebl";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a03mf#f02.a06ez";"oel, ubeskattet, uspec.";"oel og andre maltdrikke";"beer, danish household, low alcohol, average values";"beer and other malt beverages";"112";"192.6";"45.6";"0.3";NA;"0.3";"8.3";"8.3";"5.7";"0";"0";"1.6";"0.015";"0.1";"10.3";"89.7";"0";"0";"0";"0";"0";NA;NA;NA;"0";"0";NA;NA;NA;"0";"0";"0";NA;NA;"0.025";"0.6752";"0.6";"0.03";"0.05";"0.5";"2.6";"4.3";"0";"0";"0";NA;"6";"20";"8";"4";NA;"0.08";"0.003";"0.004";NA;NA;NA;NA;NA;NA;NA;NA;"12";NA;NA;NA;"1";NA;NA;NA;NA;"0.09";"0.67";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5.7";"0";"0";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0.048";"6.24";"9.12";"8.16";"2.736";NA;"6.24";"4.512";"7.2";"4.512";"12";"8.16";"6.24";"14.4";"16.32";"44.16";"12.48";"39.84";"9.12";NA;NA;"0.02";"0.03";"0.117";NA;NA;NA;NA;NA;NA;"0";"6.25";"0.7";"1";5.1;"grimbergen";"03080216034645";"grimbergen";25;"oel, ubeskattet, uspec.";"oel, ubeskattet, uspec."
"216";"charcuterivarer";"64";"processed red meat";"lampe|tullip|steff";"empty";"bacon";"skive|tern";"steg\b|\bsteg|kalkun";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a01rg#f02.a07xs$f07.a073k";"bacon, stegestykke, raa";"kogt, roeget, saltet eller toerret koed";"bacon, frying, raw";"boiled, smoked, cured or dried meat";"64";"1775";"430";"13";"10.5566814";"13";"0";"0";"0";"0";"42";"0";"2.85";"4.4";"59.4";"40.6";"0";"0";"0";"0.425";"0.289";NA;"0.136";NA;"0.3";"0.3";NA;NA;NA;NA;"0";"0.48";NA;NA;"0.16";"5.322666667";"3";"0.15";"0.4";"1";"2";"1";"0.65";"0.8";"0.8";NA;"1140";"185";"5.069090909";"15";NA;"0.51";"0.063";"1.98";"0.012";"2";"0";NA;"8.3";NA;NA;NA;"220";NA;NA;NA;"0.7";NA;"0.8";"0";"0";"0.3";"3";NA;"0";NA;"0";"0";"0";"0";"0";"0";NA;NA;"0";"0";"0";NA;NA;NA;NA;NA;"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0";NA;"0.626576973";"0";"10.81350582";"0";"5.649298836";"0";NA;"0";NA;NA;NA;"0";"0";"1.384532988";"0";NA;"17.28139715";NA;NA;"0.232439845";NA;"0";NA;NA;NA;NA;NA;NA;NA;"2.839808538";NA;"0.232439845";NA;NA;NA;"0";NA;NA;"0";"0";NA;NA;NA;"0";NA;"0";NA;NA;"17.08938163";"18.89836999";"3.072248383";NA;NA;"39.06";"0.232439845";"2.839808538";"76";"2.08";"644.8";"1060.8";"1144";"395.2";"85.28";"478.4";"436.8";"582.4";"139.36";"644.8";"811.2";"416";"811.2";"1123.2";"1934.4";"624";"478.4";"457.6";NA;NA;"1.49";NA;"0.33";NA;"0.3";"0.1";"0.1";NA;"2.32";"17";"6.25";"0.93";NA;3.1;"baadskive a4 5,3";"04022697311944";"baadskive a4";20;"bacon, stegestykke, raa";"bacon, stegestykke, raa"
"716";"rod_og_knoldgroentsager";"39";"vegetables, raw";"empty";"empty";"\bloeg\b|roedloeg";"empty";"roed\b|\broed|skalotte|perle|zittauer|stik\b|\bstik";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a00hc";"loeg, raa";"rod- og knoldgroentsager";"onion, raw";"root and tuber vegetables";"39";"182.5312242";"43.19300945";"1.245833333";"0.73642111";"1.245833333";"10.29148496";"8.427638809";"5.364210526";"1.863846154";"0.085714286";"0";"0.006752632";"0.463809524";"12.08684211";"87.91315789";"2.5";"0";"30";"0";"0";NA;NA;NA;"0.055";"0.055";NA;NA;NA;NA;NA;"0.037615385";NA;NA;"0.006923077";"0.44188254";"0.186071429";"0.168846154";"0.1";"0.953571429";"36";"15";"0";"8.085779221";"7.763636364";"0.322142857";"2.701052632";"186.0769231";"23.275";"9.157692308";NA;"0.280230769";"0.0365";"0.192692308";"0.152642857";"0";"0";NA;"0.1295";NA;NA;NA;"31.43571429";NA;NA;NA;"0.152642857";NA;"2.908571429";"0";"0.198";"2.271428571";"0.134428571";NA;"1.697894737";NA;"2.028421053";"3.726315789";"0";"0";"1.637894737";"1.637894737";NA;"1.3";"5.364210526";"0";"0";NA;NA;NA;NA;NA;"0";"0.86";"0.07";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.022857143";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.009142857";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.032";NA;"0.004571429";NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.022857143";"0.009142857";"0.036571429";NA;NA;"0.068571429";"0.004571429";"0.032";"0";"0.199333333";"23.92";"41.86";"39.86666667";"9.368666667";"7.574666667";"27.90666667";"14.352";"21.92666667";"15.34866667";"29.9";"169.4333333";"14.352";"27.90666667";"73.75333333";"263.12";"25.91333333";"16.94333333";"21.92666667";NA;NA;"0.01";NA;NA;NA;NA;NA;NA;NA;"0.01";"11.536";"6.25";"0.8";NA;2.1;"bg den lille roede";"05710280500217";"bg den lille roede";12;"loeg, raa";"loeg, raa"
"1049";"usyrnede_maelkeprodukter";"4";"milk products";"egelykke|arla|thise";"egelykke sku";"m(ae|e|i)lk";"skummet";"empty";"empty";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a02ma#f07.a06yl$f28.a07hv";"skummetmaelk";"usyrnede maelkeprodukter";"milk, skimmed";"unfermented milk products";"4";"149.764";"35.316";"3.50262";"3.155759483";"3.43125";"4.69738";"4.69738";"4.76";"0";"0.3";"0";"0.11075";"0.7";"9.2";"90.8";"3.083333333";"3";"1";"0.007";"0.007";NA;NA;NA;"0.01";"0.01";NA;NA;NA;NA;"0";"0.04";NA;NA;"0.17";"0.8769";"0.09";"0.05";"0.36";"2";"4.8";"4";"0.48";"1.3";"1.3";NA;"44.3";"158";"124";"12.2";NA;"0.03";"0.01";"0.41";"0.008";"0.052";"5";NA;"1.66";NA;NA;NA;"97";NA;"95";NA;"10.72857143";NA;"0.803";"0.03";"0.3";"0.002";"0.089";NA;"0";NA;"0";"0";"4.76";"0";"0";"4.76";NA;NA;"4.76";"0";"0";NA;NA;NA;NA;NA;"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;"0.184";NA;NA;NA;NA;"0.03";"0.184";"0.010017668";"0.007012367";"0.004007067";"0.009015901";"0.012021201";NA;"0.033058304";NA;"0.089157244";NA;"0.030053004";NA;NA;NA;NA;NA;NA;"0.004007067";NA;"0.007012367";NA;NA;"0.067118375";NA;NA;"0.0030053";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.006010601";NA;"0.002003534";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.194342756";"0.08114311";"0.008014134";NA;NA;"0.2835";"0.002003534";"0.006010601";"2.972";"0.549";"203.13";"334.89";"312.93";"87.84";"26.901";"175.68";"148.23";"148.23";"47.214";"241.56";"120.78";"98.82";"115.29";"285.48";"697.23";"71.37";"340.38";"197.64";NA;NA;"0.01";"0.03";"0";NA;NA;NA;NA;NA;"0.04";"0";"6.38";"0.945";"1.036";3.1;"oeko skummet";"05700426293929";"oeko skummet";6;"skummetmaelk";"skummetmaelk"
"10020";"madforberedelse";"empty";"empty";"empty";"empty";"filt(er|re)";"empty";"kaffe|the|te";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"flyttekasse senior 7";"00011919711478";"flyttekasse senior";4;"papirfiltre";"papirfiltre"
"1665";"friske_aeg";"87";"eggs";"\bdanaeg";"empty";"\baeg (s|m|l|x)|\bslotsaeg|\bmorgenaeg|gaardaeg";"\baeg\b";"empty";"empty";"empty";"empty";"empty";"\boe.o[:alpha:]*\b";"empty";"s";"empty";"empty";"empty";"empty";"empty";"null";"aeg, hoene, oekologisk drift, raa";"friske aeg";"eggs, chicken, organic farming, raw";"fresh eggs";"87";"577.1175";"138.535";"12.34375";"11.31077953";"12.34375";"1.30875";"1.30875";"1.30875";"0";"9.325";"0";"0.3425";"0.885";"23.8625";"76.1375";"80.5";"80.5";NA;"1.7675";"1.3475";NA;"0.42";NA;"3.70625";"3.70625";NA;NA;NA;NA;NA;"0.08325";NA;NA;"0.455";"2.975666667";"0.079";"0.1065625";"1.6";"23.8625";NA;NA;"1.565";"0.2";NA;NA;"137";"131.375";"46.9375";"11.625";NA;"1.73125";"0.053875";"1.138125";"0.030375";"0.22875";NA;NA;"24.4375";NA;NA;NA;"176.125";NA;"197.6875";NA;"24.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0";NA;"0.023243012";"0";"1.881357455";NA;"0.695675464";"0.001557224";NA;NA;NA;NA;NA;NA;NA;"0.173947703";NA;"0.152088891";"3.074767892";NA;"0.022262538";NA;NA;NA;NA;NA;NA;NA;"0.019609489";NA;NA;"1.357611071";NA;"0.08172543";NA;"0";"0.010439169";NA;"0.010266144";"0.008074496";"0.127000279";"0.010439169";NA;NA;NA;"0";NA;"0.00836287";"0";"0.081321705";"2.601833154";"3.423067023";"1.613918628";"0.019609489";NA;"7.73975";"0.108601965";"1.505316664";"389.375";"1.975";"730.75";"1125.75";"967.75";"434.5";"256.75";"691.25";"553";"592.5";"173.8";"928.25";"809.75";"316";"770.25";"1362.75";"1501";"454.25";"493.75";"967.75";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10";"6.25";"0.83";"1.035";0.2;"fryseps. 2 ltr.";"05705830003980";"fryseps. ltr.";4;"aeg, hoene, oekologisk drift, raa";"aeg, hoene, oekologisk drift, raa"
"10077";"andre_sammensatte_foedevarer";"empty";"ready meals";"knorr";"empty";"suppe|bouillon|fond";"groent|veget";"tern|spisekl";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;"groent";"00000000900351";"groent";4;"bouillon, groentsags, spiseklar";"bouillon, groentsags, spiseklar"
"1062";"kager";"33";"cookies, crackers, biscuits and cakes";"lagkageh|\bbager";"empty";"roulade";"empty";"empty";"abriko|ananas|appl|appelsi|apric|banan|berry|blaab|blueber|baer|cacao|carro|cherr|cinnam|clement|cranb|citr|curra|drue|elderflow|exoti|eksotis|fersk|figen|fig|frugt|ginge|granataeb|\bgrape\b|grapefru|guava|guleroe|havtor|hinbae|honnin|honey|hyben|hyldeb|jordb|kakao|kanel|karam|kirseb|kiwi|klemint|lemo|lime|lingon|mandari|mang|melba|melon|mint|mix(ed | )berry|multi|mynt|orang|passionsfrug|passion(| )fruit|peach|pear|paer|pineappl|pink|pistac|pomegra|rabar|rasin|raspber|rhuba|ribs|rossin|skovb|solb|spinat|strawb|traneb|tropi|tutti( |)fruitti|tytteb|vanil|valnoed|vandmel|walnu|watermel|aebl";"empty";"empty";"1";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a00bb#f04.a0by3$f28.a07ma";"roulade, uspec.";"kager";"swiss roll, unspecified";"cakes";"33";"1480.1695";"351.2565";"3.53115";NA;"3.871875";"62.85485";"61.86985";"59.953";"0.985";"9.7425";"0";"0.4853125";"0.8415";"76.97";"23.03";NA;NA;NA;"0.94";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.04";NA;NA;"0.07";"0.4";"0.4";NA;NA;NA;NA;NA;"0";"0";"0";NA;"194.125";"103";"42";"12";"130";"1.38";"0.15";"0.66";"0.24";"8";"10";"1";"2";"0.2";"2";"50";"110";"30";"178.4";"200";"5";NA;"20";"0.2";"2";"1";"7";NA;"2.239";NA;"7.56";"9.799";"2.014";"5.49";"26.66";"34.164";NA;NA;"43.963";"41.99";"41.99";NA;NA;NA;NA;NA;"15.99";"0.1";"0.2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0.015873422";"0.012666507";"0.190440774";NA;"0.129968677";"0";"3.246396777";"0";"0.641705235";"0";NA;"0";NA;"0";NA;"0";NA;"0.004165766";"0";"0.098141258";"3.480066438";NA;NA;"0.002207775";NA;"0";"0";"0";NA;"0";"0.00833959";"0";"0";"1.114362557";"0";"0.091936925";"0.000805757";"0";"0";NA;NA;"0";"0.002820151";"0";NA;NA;NA;"0";NA;"0";"0.020627391";"0";"4.237051392";"3.584581237";"1.209925391";"0.02896698";NA;"9.060525";"0.091936925";"1.117988465";NA;"0.6195";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"5.7";"0.93";NA;5.1;"bager";"00000000900680";"bager";3;"roulade, uspec.";"roulade, uspec."
"192";"broed";"31";"bread";"empty";"empty";"rasp\b|\brasp|panko";"empty";"aeblekag|hved|fil\b|\bfil|majs|gips";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"empty";"a007a#f02.a06cm$f28.a07gx";"rasp";"broed";"bread-crumbs";"bread";"31";"1487.7";"351.3";"10.70075";"9.395330302";"11.63125";"77.19925";"70.29925";"69.84";"6.9";"1.5";"0";"1.05875";"0.6";"90";"10";"0";"0";"0";"0";"0";NA;NA;NA;"0.4";"0.4";NA;NA;NA;NA;"0";"0.2";NA;NA;"0.05";"1.861";"0.8";"0.107";"0.6";"6.2";"39";"13";"0";"0";"0";NA;"423.5";"137.6111111";"50";"20.31666667";NA;"0.7";"0.123018868";"0.641147541";"0.6";"6.2";NA;NA;"2.652941176";NA;NA;NA;"100";NA;NA;NA;"19.74375";NA;"6.226315789";"0.64";"0.34";"3.420588235";"0.794736842";NA;"0";NA;"0";"0";"0";"0";"3.99";"3.99";NA;NA;"3.99";"3.99";"3.99";NA;NA;NA;NA;NA;"65.85";"0.57";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0";NA;"0.020369943";NA;"0.182418637";"0";"0.093983274";"0.007618028";NA;"0";NA;"0";NA;"0";NA;"0.017057757";NA;"0";"0.311345473";NA;NA;"0.006375958";NA;"0";"0";"0";NA;NA;NA;NA;NA;"0.318632281";NA;"0.047198649";NA;"0";"0";"0";"0";NA;NA;"0";NA;NA;NA;"0";NA;"0";NA;"0";"0.304389882";"0.334779188";"0.36583093";NA;NA;"1.005";"0.047198649";"0.318632281";"0";"1.861";"465.25";"800.23";"260.54";"173.073";"204.71";"558.3";"260.54";"316.37";"111.66";"539.69";"428.03";"241.93";"353.59";"521.08";"3424.24";"446.64";"1228.26";"558.3";NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;"0";"0";"5.75";"0.67";NA;2;"beklaed.profil 25x125";"05711563120580";"beklaed.profil";3;"rasp";"rasp"
"1291";"syrnede_maelkeprodukter";"5";"milk products";"arla";"empty";"a(|\s\+|\-)38|acidophilus";"empty";"tykmael";"empty";"empty";"empty";"1";"empty";"empty";"empty";"2";"5";"empty";"empty";"empty";"a02ns#f02.a06az";"a38, acidophilus tykmaelk af soedmaelk, 3,5% fedt";"syrnede maelkeprodukter";"milk, acidophilus cultured from whole milk, 3.5% fat";"fermented milk products";"5";"282.555";"67.44";"4.8807";"4.373004561";"4.78125";"4.4643";"4.4643";"3.519130435";"0";"3.45";"0";"0.08875";"0.855";"13.65";"86.35";"23.25";"22";"15";"0.1";"0.1";NA;NA;NA;"0.075";"0.075";NA;NA;NA;NA;"0";"0.04";NA;NA;"0.215";"1.227";"0.105";"0.0405";"0.305";"1.1";"6.2";NA;"0.295";"0.3";"0.3";NA;"35.5";"153.0909091";"126.2692308";"12.31923077";NA;"0.026";"0.0145";"0.54";"0.007";"0.09";"5";NA;"2.85";NA;NA;NA;"99.96153846";NA;"0.085";NA;"9.05";NA;"0.385";NA;NA;"0.002";"0.089";NA;"0";"0";"0";"0";"3.519130435";"0";"0";"3.519130435";NA;NA;"3.519130435";"0";"0";NA;NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;"0.91";"0.05";"0.96";"0.03";NA;NA;NA;NA;NA;"0.99";"0.122189949";"0.094419506";"0.049986797";"0.122189949";"0.133298126";NA;"0.372123935";"0.03887862";"0.98307368";NA;"0.388786201";NA;NA;NA;NA;NA;NA;"0.033324532";NA;"0.049986797";NA;"0.022216354";"0.572071124";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.11663586";NA;NA;"0.055540886";"0.016662266";"0.022216354";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0.027770443";"0.03887862";"2.304946763";"0.677598807";"0.094419506";"0.144406303";NA;"3.26025";"0.022216354";"0.055540886";"13.178";"0.765";"260.1";"504.9";"436.05";"122.4";"31.365";"237.15";"237.15";"214.2";"67.32";"344.25";"160.65";"130.05";"160.65";"390.15";"933.3";"107.1";"474.3";"252.45";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"6.38";"0.945";"1.031";0.2;"carlsberg 4,6% 24x0,";"00000500010060";"carlsberg ,";3;"a38, acidophilus tykmaelk";"a38, acidophilus tykmaelk"
