"Var1";"Freq"
"oeko";21
"rema";10
"l";8
"1l";6
"budget";6
"cheasy";6
"fraiche";6
"g";6
"carlsberg";5
"h";5
"instant";5
"kims";5
"l'or";5
"mini";5
"moerk";5
"price";5
"roser";5
".";4
"havre";4
"let";4
"mild";4
"mix";4
"ml";4
"okse";4
"original";4
"pommes";4
"roed";4
"skiver";4
"thairet";4
"vafler";4
"wc";4
"150g";3
"400g";3
"ale";3
"bki";3
"bluse";3
"brooklyn";3
"candy";3
"chicken";3
"chili";3
"choco";3
"cm";3
"corny";3
"creme";3
"de";3
"deli";3
"double";3
"egelykke";3
"f";3
"for";3
"gel";3
"go";3
"grimbergen";3
"ipa";3
"kg";3
"king'";3
"kk";3
"la";3
"lille";3
"loegis.";3
"lys";3
"mamone";3
"mh";3
"noir";3
"oego";3
"oeko.";3
"omega";3
"paprika";3
"petit";3
"risalamande";3
"salat";3
"st";3
".m.";2
"1,75l";2
"10g";2
"1kg";2
"250g";2
"250ml";2
"2kg";2
"500ml";2
"900ml";2
"affaldssaek";2
"agnes";2
"albani";2
"aloe";2
"ama";2
"anna";2
"athena";2
"balloner";2
"bd";2
"bearnaise";2
"becel";2
"bechamel";2
"bilanx";2
"biotex";2
"blue";2
"boef";2
"brush";2
"café";2
"capri-sun";2
"cheese";2
"coleslaw";2
"cremefine";2
"crispy";2
"dolce";2
"domestos";2
"dream";2
"drink";2
"dronning";2
"ekstra";2
"energy";2
"engelsk";2
"favorit";2
"floedeskum";2
"flydende";2
"fp";2
"fras";2
"freesia";2
"fresh";2
"gerbera";2
"ginger";2
"gm";2
"gold";2
"grill";2
"groent";2
"groentsagsmix";2
"guld";2
"gusto";2
"handske";2
"havrefras";2
"havsalt";2
"herkules";2
"haar";2
"imp";2
"jacobsen";2
"joergens";2
"k";2
"kalender";2
"kidney";2
"kort";2
"kuvert";2
"kaalmix";2
"lilla";2
"lise";2
"livol";2
"madlavningsfloede";2
"mandl.";2
"me";2
"mel";2
"men";2
"mixed";2
"montgras";2
"multivitamin";2
"maanedens";2
"n";2
"nescafe";2
"new";2
"no";2
"oatly";2
"opvaskeboerste";2
"orange";2
"pale";2
"paraguayos";2
"party";2
"pink";2
"princip";2
"pro";2
"paaske";2
"re";2
"red";2
"rockstar";2
"rodfrugter";2
"roede";2
"rosmarin";2
"royal";2
"safari";2
"sc";2
"serviet";2
"shine";2
"single";2
"skovlyst";2
"skummet";2
"smartbox";2
"snaxters";2
"soft";2
"softice";2
"sok";2
"sommer";2
"stedmoder";2
"super";2
"taco";2
"taffel";2
"toms";2
"urtekram";2
"vanilje";2
"variera";2
"vera";2
"weekendmix";2
"-mm.";1
"*m*";1
",";1
"/bacogcheese";1
"/cit";1
"/flag";1
"/jord";1
"/smag";1
"+";1
"0,33l";1
"0,85l";1
"0kal";1
"1,5l";1
"10-box";1
"100l";1
"100s";1
"10mcg";1
"10w";1
"120l";1
"12aes";1
"135gr";1
"16k";1
"175g";1
"18%n";1
"2-lag";1
"2-p.";1
"20";1
"20x10";1
"230g";1
"24\",";1
"2l";1
"30ml";1
"32l";1
"33cl";1
"35cl";1
"35cm";1
"360g";1
"375g";1
"3i1";1
"40cm";1
"40gr";1
"40l";1
"44cl";1
"450g";1
"5";1
"500g";1
"50cl";1
"50m";1
"575g";1
"5i1";1
"6'";1
"60min";1
"60ml";1
"66cl";1
"750g";1
"75cl";1
"75g";1
"7up";1
"9v";1
"a4";1
"abe";1
"ac";1
"acc";1
"actimel";1
"af";1
"aioli";1
"akrylboks";1
"alfa";1
"alfheim";1
"alk.fri";1
"allerum";1
"alpro";1
"alsace";1
"amanda";1
"ammeindlaeg";1
"amo";1
"antagen";1
"antigentest";1
"apol";1
"appassinero";1
"appel";1
"appel.";1
"aqua";1
"argentinske";1
"arla";1
"as";1
"avivir";1
"avo";1
"b";1
"b'free";1
"b-stress";1
"bad";1
"badvaerstan";1
"bager";1
"bakke";1
"ban./j.";1
"baseball";1
"basissalat";1
"bbq";1
"beard";1
"beauvais";1
"beckmann";1
"beklaed.profil";1
"bella";1
"belle";1
"beloes'";1
"best";1
"betjent";1
"betraek";1
"beuf";1
"bg";1
"bib";1
"big";1
"biksemad";1
"biograftur";1
"bjoern";1
"bk";1
"bl.ue";1
"blanco";1
"bland-selv-slik";1
"blandet";1
"blend";1
"bloed";1
"blok";1
"blokke";1
"blaa/gra/ac";1
"blaa/hv";1
"bodylo";1
"boejle";1
"boerne";1
"boks";1
"bones";1
"bor,";1
"boson";1
"botaren";1
"bp";1
"br";1
"br.";1
"brainy";1
"bresaola";1
"briller";1
"briquette";1
"brown";1
"brulee";1
"brune";1
"brushetta";1
"bullet";1
"burrata";1
"burrito";1
"butter";1
"butterdej";1
"baadskive";1
"baalkurv,";1
"baand";1
"cable";1
"caesar";1
"cafe";1
"cafèbesoeg";1
"calypso";1
"can";1
"capolavoro";1
"cappelletti";1
"capri-sonne";1
"caprice";1
"card";1
"carzy";1
"casa";1
"castel.roed";1
"castus";1
"catel";1
"cham";1
"chamaerops";1
"chef";1
"chi";1
"chil";1
"choc.";1
"choco/creme";1
"chrisco";1
"chunks";1
"citrus";1
"cl";1
"club";1
"cm.";1
"coco";1
"coete";1
"colg.protect";1
"colorogdi";1
"comté";1
"cool";1
"cortado,";1
"country";1
"cow";1
"cr.";1
"cr1632";1
"crabbies";1
"cranberry";1
"creek";1
"cremefra";1
"cuis";1
"cupnoodles";1
"cykel";1
"cykeldaek";1
"cykelholder";1
"czaja";1
"daekjern";1
"daekkeservie";1
"damask";1
"danfugesand";1
"dansand";1
"dark";1
"daskovlyst";1
"dava";1
"db";1
"delapierre";1
"delicata";1
"delle";1
"den";1
"depositum";1
"designserviet";1
"dextro.neutr";1
"dgr.";1
"dgs";1
"di";1
"dia.moskusdy";1
"diamond";1
"diego";1
"dishwash";1
"disruptor";1
"don";1
"donna";1
"donuts";1
"doritos";1
"dortios";1
"dr";1
"dr.";1
"dr.beckmann";1
"dreamies";1
"dreng";1
"dress.";1
"drh";1
"drypbakke";1
"ds";1
"ds.";1
"duck";1
"dunlet";1
"dvd";1
"daase";1
"e.";1
"eagle";1
"ecolier";1
"egg";1
"elastikker";1
"elegante";1
"eleme";1
"ella'";1
"engelske";1
"eral";1
"estate";1
"estragon";1
"et";1
"extra";1
"eye";1
"f.";1
"face";1
"fajita";1
"falksalt";1
"farmhouse";1
"farvesaet";1
"fastelavnsbl";1
"femina";1
"ferrari";1
"fettuc.spina";1
"fever";1
"fiber";1
"fiery";1
"finax";1
"fish";1
"fitness";1
"fjernbetjening";1
"fk";1
"flad";1
"flaesk";1
"flagguilande";1
"flat";1
"flere";1
"flerkornboll";1
"flex";1
"floe";1
"floed";1
"floedeis";1
"flyttekasse";1
"folkehjaelp";1
"forhaeng,slim";1
"formalet";1
"fors";1
"forsk.";1
"forza";1
"fosyet";1
"fr.";1
"fraic";1
"frank";1
"fredsted";1
"frejdahl";1
"freshness";1
"fries";1
"frisk";1
"fromaggi";1
"frugt";1
"frugtkonfekt";1
"frugtoel";1
"frugtrulle";1
"fryseps.";1
"fugesand";1
"fugleaeg";1
"fuldkorn";1
"fuldkorns";1
"funny";1
"gaffatape";1
"gaveaeske";1
"gavemaerker";1
"gb";1
"gc";1
"gebyr";1
"gilleleje";1
"gl.dags";1
"glasflaske";1
"glastavle";1
"glide";1
"glitterlim";1
"gloe";1
"gloegg";1
"glutenfri";1
"godt";1
"goel";1
"gomba";1
"gr";1
"graenseledning";1
"graesk";1
"granol";1
"gratin";1
"gravidit";1
"graviditetst";1
"green,";1
"greenland";1
"grendel";1
"grevae";1
"grey";1
"grigio";1
"grillede";1
"griller";1
"grinebidder";1
"gris";1
"groen";1
"groenlid";1
"groentsagsbaand";1
"gropper";1
"grov";1
"grove";1
"grow";1
"grs";1
"graa";1
"guacamole";1
"gudhjem";1
"guleroe";1
"gurli";1
"hagesmaekke";1
"hamburge";1
"happy";1
"hapsdog";1
"haribo";1
"harva";1
"harvest";1
"hav";1
"havn";1
"havremel";1
"hedebogaard";1
"heinz";1
"hemo";1
"hermitage";1
"herre";1
"herregaardsboef";1
"herresko";1
"hibiscus";1
"hindb/gran";1
"hje.";1
"hoegaarden";1
"hoest";1
"holiday";1
"hoved";1
"humilis";1
"humle";1
"hv";1
"hverdagsh";1
"hygge";1
"hyl";1
"hyldebl.";1
"hyldebl/in";1
"haandledskinnev";1
"haandpillede";1
"haandvaerker";1
"haarklemmer";1
"ibérico-mix";1
"imodium";1
"indersaal";1
"india";1
"indisk";1
"indkoebsnet";1
"invitro";1
"ironstone";1
"isenbourg";1
"isenkram";1
"ispi";1
"italiensk";1
"itunes";1
"ivar";1
"jakobsens";1
"jarlsberg";1
"jensen";1
"jensens";1
"jern";1
"jord";1
"ju";1
"jubilaeums";1
"julefryd";1
"julemumme";1
"julepraliner";1
"juleskum";1
"julestenoel";1
"junior";1
"k.";1
"ka";1
